id,name,lon,lat
306,Anemoculus,0.44275,0.23417
305,Anemoculus,0.45108,0.24563
311,Anemoculus,0.45988,0.24155
318,Anemoculus,0.48959,0.21633
316,Anemoculus,0.49676,0.21924
317,Anemoculus,0.49624,0.21347
363,Anemoculus,0.56077,0.23801
360,Anemoculus,0.61388,0.25351
333,Anemoculus,0.54209,0.16537
332,Anemoculus,0.53145,0.16589
336,Anemoculus,0.54725,0.15176
338,Anemoculus,0.55382,0.1488
325,Anemoculus,0.4953,0.18821
328,Anemoculus,0.50526,0.17112
322,Anemoculus,0.4962,0.20014
302,Anemoculus,0.42545,0.21918
307,Anemoculus,0.44705,0.22785
310,Anemoculus,0.44254,0.23052
323,Anemoculus,0.50191,0.1938
355,Anemoculus,0.59258,0.19263
357,Anemoculus,0.61053,0.20096
342,Anemoculus,0.56658,0.16186
343,Anemoculus,0.56378,0.15701
344,Anemoculus,0.57448,0.15967
356,Anemoculus,0.56704,0.19834
345,Anemoculus,0.57632,0.14829
339,Anemoculus,0.55502,0.14446
349,Anemoculus,0.57748,0.13116
340,Anemoculus,0.56035,0.13455
353,Anemoculus,0.59589,0.12686
351,Anemoculus,0.59327,0.11798
354,Anemoculus,0.62334,0.12815
361,Anemoculus,0.59486,0.24102
358,Anemoculus,0.59928,0.215
341,Anemoculus,0.56731,0.16945
337,Anemoculus,0.55369,0.16503
327,Anemoculus,0.52097,0.17851
308,Anemoculus,0.43631,0.21173
314,Anemoculus,0.49985,0.2267
320,Anemoculus,0.46426,0.19912
1387,Anemoculus,0.48251,0.1427
352,Anemoculus,0.6038,0.11481
350,Anemoculus,0.58336,0.1042
348,Anemoculus,0.5808,0.14004
346,Anemoculus,0.57873,0.17224
347,Anemoculus,0.567,0.17743
331,Anemoculus,0.51762,0.15902
324,Anemoculus,0.45645,0.18877
319,Anemoculus,0.47469,0.21022
334,Anemoculus,0.51629,0.22865
335,Anemoculus,0.52067,0.22037
362,Anemoculus,0.55326,0.24973
359,Anemoculus,0.64616,0.22814
364,Anemoculus,0.68772,0.14073
303,Anemoculus,0.43086,0.222
